chromosome,start,end,CBR110-15-R3a_log2,CBR110-15-R3a_fold_change,Carmaphycin-R9-2_log2,Carmaphycin-R9-2_fold_change,Doxorubicin16-R2b_log2,Doxorubicin16-R2b_fold_change,NODRUG-GM2_log2,NODRUG-GM2_fold_change
X,300302,305307,-0.0343,0.976,-0.0040,0.997,0.0331,1.023,0.0304,1.021
X,305307,310312,-0.1736,0.887,-0.0695,0.953,-0.1602,0.895,0.0257,1.018
X,310312,315317,-0.1538,0.899,-0.0723,0.951,-0.1219,0.919,-0.0491,0.967
X,315317,320322,-0.1533,0.899,-0.0842,0.943,-0.1168,0.922,-0.0654,0.956
X,320322,325327,-0.0134,0.991,0.0191,1.013,0.1335,1.097,0.0000,1.000
X,325327,330332,0.0497,1.035,0.1195,1.086,0.0874,1.062,-0.0323,0.978
X,330332,335337,0.1302,1.094,0.0802,1.057,0.1744,1.128,0.0580,1.041
X,335337,340342,0.0012,1.001,0.0955,1.068,0.1342,1.097,-0.0008,0.999
X,340342,345347,0.0814,1.058,0.1244,1.090,0.1424,1.104,0.0428,1.030
X,345347,350352,0.0291,1.020,0.0645,1.046,0.0806,1.057,0.0692,1.049
X,350352,355357,0.0712,1.051,0.0871,1.062,0.0573,1.041,0.1096,1.079
X,355357,360362,-0.2213,0.858,-0.1303,0.914,-0.1143,0.924,-0.0210,0.986
X,360362,365367,-0.4963,0.709,-0.2351,0.850,-0.1292,0.914,-0.0237,0.984
X,365367,370372,-0.2356,0.849,-0.1632,0.893,-0.1752,0.886,-0.0203,0.986
X,370372,375378,0.0037,1.003,-0.0232,0.984,0.0073,1.005,0.0944,1.068
X,375378,380383,0.1114,1.080,0.0249,1.017,0.0494,1.035,0.0096,1.007
X,380383,385388,0.0180,1.013,-0.0022,0.998,0.0791,1.056,0.0225,1.016
X,385388,390393,-0.0659,0.955,-0.0221,0.985,-0.0191,0.987,0.0000,1.000
X,390393,395398,-0.4040,0.756,-0.2398,0.847,-0.2099,0.865,-0.0574,0.961
X,395398,400403,-0.0624,0.958,-0.0441,0.970,-0.1139,0.924,-0.0336,0.977
X,400403,405408,-0.1962,0.873,-0.1131,0.925,0.0082,1.006,-0.0188,0.987
X,405408,410413,0.1713,1.126,0.1405,1.102,0.2981,1.230,0.1562,1.114
X,410413,415418,-0.0532,0.964,-0.0240,0.984,-0.0161,0.989,-0.0408,0.972
X,415418,420423,0.1860,1.138,0.1956,1.145,0.2277,1.171,0.0237,1.017
X,420423,425428,0.0120,1.008,0.0492,1.035,-0.0834,0.944,0.0000,1.000
X,425428,430433,0.0359,1.025,0.0638,1.045,0.1415,1.103,0.0993,1.071
X,430433,435438,-0.0549,0.963,-0.0450,0.969,0.0186,1.013,-0.0318,0.978
X,435438,440443,0.1127,1.081,0.0635,1.045,0.1653,1.121,-0.0115,0.992
X,440443,445448,0.1111,1.080,0.0454,1.032,0.2200,1.165,-0.0026,0.998
X,445448,450453,-0.0166,0.989,0.0022,1.002,0.0334,1.023,-0.0347,0.976
X,450453,455458,-0.0697,0.953,-0.0350,0.976,-0.0003,1.000,0.0660,1.047
X,455458,460463,0.2223,1.167,0.1525,1.112,0.2481,1.188,-0.0461,0.969
X,460463,465468,0.1283,1.093,0.1035,1.074,0.2127,1.159,0.0193,1.013
X,465468,470473,-0.1192,0.921,-0.0398,0.973,-0.0100,0.993,0.0203,1.014
X,470473,475478,0.4903,1.405,0.4790,1.394,0.5215,1.435,0.2508,1.190
X,475478,480483,0.7519,1.684,0.6316,1.549,0.7188,1.646,0.3992,1.319
X,480483,485488,0.6164,1.533,0.6247,1.542,0.6045,1.521,0.4468,1.363
X,485488,490493,-0.0762,0.949,0.0594,1.042,0.0393,1.028,0.0026,1.002
X,490493,495498,0.0713,1.051,0.1200,1.087,0.1115,1.080,0.0438,1.031
X,495498,500504,0.0237,1.017,0.0822,1.059,0.1469,1.107,0.0077,1.005
X,500504,505509,-0.1423,0.906,0.0210,1.015,-0.0045,0.997,0.0333,1.023
X,505509,510514,0.1625,1.119,0.0834,1.060,0.1151,1.083,0.0071,1.005
X,510514,515519,0.0909,1.065,0.0781,1.056,0.1467,1.107,0.0688,1.049
X,515519,520524,-0.0271,0.981,-0.0442,0.970,-0.0020,0.999,-0.0067,0.995
X,520524,525529,-0.0789,0.947,-0.0725,0.951,0.0206,1.014,0.0080,1.006
X,525529,530534,0.6577,1.578,0.5970,1.513,0.4582,1.374,0.8243,1.771
X,530534,535539,-0.1445,0.905,-0.0953,0.936,0.0499,1.035,-0.0038,0.997
X,535539,540544,0.0012,1.001,-0.0040,0.997,-0.0988,0.934,-0.1046,0.930
X,540544,545549,0.1362,1.099,0.0925,1.066,0.0486,1.034,-0.0665,0.955
X,545549,550554,-0.1919,0.875,-0.0492,0.966,-0.0619,0.958,0.0640,1.045
X,550554,555559,0.0979,1.070,0.1456,1.106,0.1829,1.135,0.0407,1.029
X,555559,560564,-0.0752,0.949,-0.0116,0.992,0.0715,1.051,-0.0980,0.934
X,560564,565569,0.1121,1.081,0.1413,1.103,0.2156,1.161,0.0425,1.030
X,565569,570574,-0.1498,0.901,-0.0036,0.998,-0.0295,0.980,0.0866,1.062
X,570574,575579,-0.0311,0.979,0.0879,1.063,0.0210,1.015,-0.0247,0.983
X,575579,580584,-0.1746,0.886,-0.1329,0.912,-0.1490,0.902,-0.0228,0.984
X,580584,585589,-0.1742,0.886,-0.0790,0.947,-0.1544,0.898,0.0245,1.017
X,585589,590594,0.0646,1.046,0.1094,1.079,0.0703,1.050,0.0650,1.046
X,590594,595599,-0.0754,0.949,0.0378,1.027,0.0484,1.034,-0.0503,0.966
X,595599,600604,0.0012,1.001,0.0388,1.027,0.1713,1.126,0.0126,1.009
X,600604,605609,-0.0668,0.955,-0.1069,0.929,-0.0788,0.947,0.0148,1.010
X,605609,610614,-0.1358,0.910,-0.1292,0.914,-0.2131,0.863,0.0687,1.049
X,610614,615619,-0.1275,0.915,-0.0228,0.984,-0.0498,0.966,0.0292,1.020
X,615619,620624,0.0883,1.063,0.1193,1.086,0.2315,1.174,0.0998,1.072
X,620624,625630,-0.2730,0.828,-0.1112,0.926,-0.1178,0.922,0.0738,1.053
X,625630,630635,0.0845,1.060,0.1482,1.108,0.1272,1.092,0.0058,1.004
X,630635,635640,0.1046,1.075,0.1127,1.081,0.1155,1.083,0.0211,1.015
X,635640,640645,-0.0599,0.959,-0.0409,0.972,-0.1603,0.895,0.0104,1.007
X,640645,645650,0.0828,1.059,0.1175,1.085,0.1096,1.079,0.0088,1.006
X,645650,650655,-0.0062,0.996,0.0090,1.006,-0.0294,0.980,0.0821,1.059
X,650655,655660,-0.0782,0.947,-0.0681,0.954,-0.0601,0.959,-0.0102,0.993
X,655660,660665,0.3977,1.317,0.3188,1.247,0.2580,1.196,0.0029,1.002
X,660665,665670,0.0267,1.019,-0.0040,0.997,-0.0664,0.955,0.0454,1.032
X,665670,670675,0.0982,1.070,0.0179,1.012,-0.0737,0.950,-0.0069,0.995
X,670675,675680,-0.0410,0.972,-0.0119,0.992,-0.0910,0.939,-0.0334,0.977
X,675680,680685,0.3117,1.241,0.1903,1.141,0.2864,1.220,-0.0159,0.989
X,680685,685690,0.1338,1.097,0.0554,1.039,0.1863,1.138,-0.0485,0.967
X,685690,690695,0.0665,1.047,-0.1298,0.914,0.0216,1.015,0.0229,1.016
X,690695,695700,0.2714,1.207,0.1364,1.099,0.2412,1.182,0.0536,1.038
X,695700,700705,0.2720,1.207,0.0980,1.070,0.2882,1.221,-0.0399,0.973
X,700705,705710,0.0732,1.052,-0.0381,0.974,0.0233,1.016,0.1057,1.076
X,705710,710715,0.1546,1.113,0.0334,1.023,0.0081,1.006,0.0378,1.027
X,710715,715720,0.6043,1.520,0.2863,1.219,0.4575,1.373,0.1330,1.097
X,715720,720725,0.4659,1.381,0.1789,1.132,0.2384,1.180,0.0400,1.028
X,720725,725730,0.1986,1.148,0.0306,1.021,-0.0398,0.973,-0.0217,0.985
X,725730,730735,0.2418,1.182,0.0491,1.035,-0.0059,0.996,-0.0225,0.985
X,730735,735740,0.1289,1.093,-0.0444,0.970,-0.1431,0.906,-0.1660,0.891
X,735740,740745,0.3353,1.262,0.1707,1.126,-0.0919,0.938,0.1021,1.073
X,740745,745751,0.6813,1.604,0.4457,1.362,0.0228,1.016,0.0136,1.009
I,0,5004,0.9506,1.933,0.4251,1.343,0.0895,1.064,0.0252,1.018
I,5004,10009,0.3960,1.316,0.0026,1.002,-0.2568,0.837,-0.0108,0.993
I,10009,15014,0.7720,1.708,0.2342,1.176,0.2228,1.167,0.1561,1.114
I,15014,20018,0.5421,1.456,0.1339,1.097,0.0201,1.014,-0.0336,0.977
I,20018,25023,0.4256,1.343,-0.0670,0.955,-0.0525,0.964,-0.1116,0.926
I,25023,30028,0.5372,1.451,0.1156,1.083,0.0934,1.067,-0.0841,0.943
I,30028,35033,0.4207,1.339,0.0358,1.025,0.0000,1.000,-0.0115,0.992
I,35033,40037,0.3423,1.268,-0.0865,0.942,-0.0064,0.996,0.0232,1.016
I,40037,45042,0.5130,1.427,0.0870,1.062,0.1989,1.148,0.0444,1.031
I,45042,50047,0.3860,1.307,0.0413,1.029,0.0053,1.004,-0.0198,0.986
I,50047,55052,0.4534,1.369,0.0326,1.023,0.0641,1.045,-0.0131,0.991
I,55052,60056,0.3226,1.251,-0.0250,0.983,0.0241,1.017,-0.0153,0.989
I,60056,65061,0.4161,1.334,0.0821,1.059,0.2032,1.151,-0.1170,0.922
I,65061,70066,0.0616,1.044,-0.1400,0.907,-0.2287,0.853,-0.1062,0.929
I,70066,75071,0.0998,1.072,-0.3114,0.806,-0.2990,0.813,-0.0528,0.964
I,75071,80075,0.1096,1.079,-0.1956,0.873,-0.0892,0.940,0.0109,1.008
I,80075,85080,0.2749,1.210,0.0280,1.020,-0.0856,0.942,-0.0259,0.982
I,85080,90085,0.4002,1.320,0.1797,1.133,0.1321,1.096,-0.0508,0.965
I,90085,95090,0.1606,1.118,-0.0596,0.960,-0.0656,0.956,0.0000,1.000
I,95090,100094,0.3418,1.267,0.0527,1.037,0.0695,1.049,-0.0128,0.991
I,100094,105099,0.2715,1.207,-0.0142,0.990,0.0156,1.011,-0.0148,0.990
I,105099,110104,0.2506,1.190,0.0132,1.009,-0.0112,0.992,-0.0067,0.995
I,110104,115109,0.0251,1.018,-0.0237,0.984,0.0542,1.038,0.0000,1.000
I,115109,120113,0.1354,1.098,-0.0828,0.944,-0.0708,0.952,0.1114,1.080
I,120113,125118,0.1240,1.090,-0.0958,0.936,-0.0020,0.999,0.1193,1.086
I,125118,130123,0.1558,1.114,-0.0616,0.958,-0.0570,0.961,0.0198,1.014
I,130123,135127,0.0926,1.066,-0.0744,0.950,-0.1815,0.882,-0.0211,0.986
I,135127,140132,0.2119,1.158,0.0146,1.010,-0.1172,0.922,0.0229,1.016
I,140132,145137,0.0012,1.001,-0.2594,0.835,-0.2839,0.821,-0.0179,0.988
I,145137,150142,0.1082,1.078,-0.0829,0.944,-0.1219,0.919,0.0162,1.011
I,150142,155146,0.2970,1.229,-0.0567,0.961,0.0245,1.017,-0.0869,0.942
I,155146,160151,0.4477,1.364,0.1717,1.126,0.2337,1.176,-0.0072,0.995
I,160151,165156,0.7468,1.678,0.5993,1.515,0.6558,1.575,0.2268,1.170
I,165156,170161,0.5255,1.439,0.1968,1.146,0.2932,1.225,0.1138,1.082
I,170161,175165,0.5635,1.478,0.1430,1.104,0.1474,1.108,-0.0077,0.995
I,175165,180170,0.6221,1.539,0.1538,1.112,0.3059,1.236,-0.0515,0.965
I,180170,185175,0.6142,1.531,0.2175,1.163,0.2378,1.179,-0.0120,0.992
I,185175,190180,0.2984,1.230,0.0098,1.007,-0.0808,0.946,0.0649,1.046
I,190180,195184,-0.1028,0.931,-0.4299,0.742,-0.0950,0.936,-0.0867,0.942
I,195184,200189,0.3580,1.282,-0.0929,0.938,-0.0681,0.954,-0.0602,0.959
I,200189,205194,0.5746,1.489,0.1612,1.118,0.1441,1.105,0.0694,1.049
I,205194,210199,0.4723,1.387,0.0113,1.008,0.0824,1.059,0.0328,1.023
I,210199,215203,0.4434,1.360,0.1159,1.084,-0.0074,0.995,-0.0805,0.946
I,215203,220208,0.3197,1.248,0.0055,1.004,-0.0780,0.947,0.0341,1.024
I,220208,225213,0.2421,1.183,-0.0686,0.954,-0.2944,0.815,-0.0493,0.966
I,225213,230218,0.7884,1.727,0.2787,1.213,0.0040,1.003,0.1104,1.079
V,0,5016,0.3701,1.292,0.3236,1.251,0.0729,1.052,0.0866,1.062
V,5016,10032,0.4037,1.323,0.2491,1.188,0.0383,1.027,0.0527,1.037
V,10032,15048,0.4650,1.380,0.2770,1.212,0.0191,1.013,0.0465,1.033
V,15048,20065,0.2283,1.171,0.0978,1.070,0.0186,1.013,0.0304,1.021
V,20065,25081,0.3146,1.244,0.1630,1.120,0.0960,1.069,-0.0367,0.975
V,25081,30097,0.4694,1.385,0.1646,1.121,0.2673,1.204,0.0430,1.030
V,30097,35114,-0.4183,0.748,-0.6466,0.639,-0.6536,0.636,-0.6602,0.633
V,35114,40130,0.1925,1.143,-0.0974,0.935,0.1566,1.115,0.0470,1.033
V,40130,45146,-0.2795,0.824,-0.2281,0.854,-0.0768,0.948,-0.0320,0.978
V,45146,50162,0.0012,1.001,-0.0975,0.935,-0.1467,0.903,0.0980,1.070
V,50162,55179,-0.1508,0.901,-0.2165,0.861,-0.2053,0.867,0.0091,1.006
V,55179,60195,0.2880,1.221,0.0935,1.067,0.1412,1.103,0.0003,1.000
V,60195,65211,0.2721,1.208,0.0553,1.039,0.1686,1.124,-0.1116,0.926
V,65211,70228,-0.0496,0.966,-0.0895,0.940,-0.1037,0.931,-0.0395,0.973
V,70228,75244,0.0489,1.035,-0.0350,0.976,0.0768,1.055,-0.0242,0.983
V,75244,80260,0.1559,1.114,0.0958,1.069,-0.0001,1.000,0.0492,1.035
V,80260,85277,-0.1047,0.930,-0.1378,0.909,-0.1115,0.926,0.0017,1.001
V,85277,90293,0.0301,1.021,-0.0283,0.981,-0.0019,0.999,-0.0500,0.966
V,90293,95309,-0.0188,0.987,-0.0210,0.986,-0.0836,0.944,0.0459,1.032
V,95309,100325,0.1595,1.117,0.1052,1.076,0.0729,1.052,0.0577,1.041
V,100325,105342,0.1747,1.129,0.0896,1.064,0.1475,1.108,-0.0030,0.998
V,105342,110358,-0.0413,0.972,-0.0136,0.991,-0.0020,0.999,0.0692,1.049
V,110358,115374,-0.2285,0.854,-0.0822,0.945,-0.1177,0.922,-0.0563,0.962
V,115374,120391,2.1170,4.338,1.8506,3.606,1.8851,3.694,2.0233,4.065
V,120391,125407,-0.2509,0.840,-0.1771,0.885,-0.2471,0.843,-0.0590,0.960
V,125407,130423,-0.0272,0.981,0.0564,1.040,0.0204,1.014,0.0600,1.042
V,130423,135439,0.1829,1.135,0.1107,1.080,0.1743,1.128,0.0322,1.023
V,135439,140456,-0.1948,0.874,-0.1683,0.890,-0.1320,0.913,0.0000,1.000
V,140456,145472,-0.1007,0.933,-0.0692,0.953,-0.0809,0.945,0.0000,1.000
V,145472,150488,-0.1655,0.892,-0.1079,0.928,-0.1469,0.903,-0.0021,0.999
V,150488,155505,0.0206,1.014,-0.0040,0.997,0.0294,1.021,-0.0079,0.995
V,155505,160521,-0.1838,0.880,-0.1128,0.925,-0.1312,0.913,-0.0099,0.993
V,160521,165537,0.1155,1.083,0.0720,1.051,0.1798,1.133,0.0227,1.016
V,165537,170554,-0.0335,0.977,0.0276,1.019,0.1858,1.137,0.0942,1.067
V,170554,175570,-0.1044,0.930,0.1004,1.072,0.0171,1.012,0.0187,1.013
V,175570,180586,-0.0644,0.956,-0.0003,1.000,0.0625,1.044,0.0746,1.053
V,180586,185602,-0.0929,0.938,-0.0167,0.988,-0.0554,0.962,0.0130,1.009
V,185602,190619,-0.1257,0.917,-0.0195,0.987,-0.0009,0.999,0.0204,1.014
V,190619,195635,-0.6279,0.647,-0.3521,0.783,-0.2261,0.855,-0.1531,0.899
V,195635,200651,-0.1010,0.932,-0.0385,0.974,0.0754,1.054,0.0327,1.023
V,200651,205668,-0.0365,0.975,0.0700,1.050,0.1035,1.074,0.0796,1.057
V,205668,210684,-0.1009,0.932,-0.0245,0.983,0.0000,1.000,0.0267,1.019
V,210684,215700,-0.0269,0.982,0.0192,1.013,0.0656,1.047,0.0642,1.046
V,215700,220717,-0.2493,0.841,-0.1842,0.880,-0.0976,0.935,0.0537,1.038
V,220717,225733,-0.5033,0.705,-0.3201,0.801,-0.3469,0.786,-0.0211,0.985
V,225733,230749,-0.2308,0.852,-0.1683,0.890,-0.2257,0.855,0.0774,1.055
V,230749,235765,-0.1268,0.916,0.0094,1.007,-0.0410,0.972,-0.0110,0.992
V,235765,240782,-0.1840,0.880,-0.0626,0.958,-0.0939,0.937,0.0166,1.012
V,240782,245798,-0.1358,0.910,-0.0982,0.934,-0.0717,0.952,-0.0403,0.972
V,245798,250814,-0.0057,0.996,0.0898,1.064,0.1550,1.113,0.0752,1.054
V,250814,255831,-0.1328,0.912,-0.0358,0.975,0.0354,1.025,0.1028,1.074
V,255831,260847,-0.0057,0.996,-0.0086,0.994,0.1110,1.080,-0.0220,0.985
V,260847,265863,-0.2656,0.832,-0.1576,0.897,-0.2460,0.843,-0.0680,0.954
V,265863,270879,-0.1860,0.879,-0.0825,0.944,-0.1969,0.872,0.0573,1.041
V,270879,275896,0.1319,1.096,0.0619,1.044,0.0924,1.066,-0.0470,0.968
V,275896,280912,-0.1263,0.916,-0.0407,0.972,0.0164,1.011,-0.0181,0.988
V,280912,285928,-0.2309,0.852,-0.1325,0.912,-0.1212,0.919,0.0105,1.007
V,285928,290945,0.0012,1.001,0.0385,1.027,0.0759,1.054,0.0000,1.000
V,290945,295961,0.0253,1.018,0.0750,1.053,0.0053,1.004,-0.0022,0.998
V,295961,300977,-0.0725,0.951,-0.0040,0.997,-0.0020,0.999,0.0184,1.013
V,300977,305994,-0.0271,0.981,-0.0132,0.991,0.0051,1.004,-0.0246,0.983
V,305994,311010,-0.0253,0.983,0.0047,1.003,0.0182,1.013,0.0277,1.019
V,311010,316026,0.0366,1.026,0.0849,1.061,0.0595,1.042,-0.0199,0.986
V,316026,321042,-0.1355,0.910,-0.0673,0.954,-0.0575,0.961,0.0736,1.052
V,321042,326059,-0.1414,0.907,-0.1257,0.917,-0.0608,0.959,-0.0239,0.984
V,326059,331075,-0.1563,0.897,-0.1261,0.916,-0.0763,0.948,-0.0226,0.984
V,331075,336091,-0.1073,0.928,-0.0763,0.949,-0.0660,0.955,0.1020,1.073
V,336091,341108,-0.1942,0.874,-0.1105,0.926,0.0284,1.020,-0.0397,0.973
V,341108,346124,-0.0893,0.940,-0.0735,0.950,-0.0355,0.976,-0.0043,0.997
V,346124,351140,-0.0404,0.972,-0.0011,0.999,0.0614,1.043,-0.0213,0.985
V,351140,356156,0.0176,1.012,0.0766,1.055,0.0231,1.016,0.0494,1.035
V,356156,361173,-0.0249,0.983,-0.0229,0.984,-0.0195,0.987,-0.0083,0.994
V,361173,366189,-0.3268,0.797,-0.1971,0.872,-0.1192,0.921,0.0541,1.038
V,366189,371205,-0.0783,0.947,0.0107,1.007,-0.0420,0.971,0.0000,1.000
V,371205,376222,-0.2336,0.850,-0.0824,0.944,-0.0443,0.970,0.0617,1.044
V,376222,381238,-0.1728,0.887,-0.0176,0.988,-0.0356,0.976,-0.0087,0.994
V,381238,386254,-0.1561,0.897,-0.1327,0.912,-0.0369,0.975,-0.0624,0.958
V,386254,391271,0.0477,1.034,0.1447,1.105,0.1458,1.106,-0.0240,0.984
V,391271,396287,-0.1579,0.896,-0.0842,0.943,-0.0850,0.943,0.0445,1.031
V,396287,401303,0.0930,1.067,0.1496,1.109,0.1425,1.104,0.0711,1.051
V,401303,406319,-0.2128,0.863,-0.0855,0.942,-0.1188,0.921,-0.0461,0.969
V,406319,411336,-0.1003,0.933,-0.0255,0.982,0.0321,1.022,0.0068,1.005
V,411336,416352,0.0312,1.022,0.0032,1.002,0.0767,1.055,-0.0494,0.966
V,416352,421368,-0.2153,0.861,-0.1155,0.923,-0.0708,0.952,0.0031,1.002
V,421368,426385,-0.2789,0.824,-0.1336,0.912,-0.2085,0.865,0.0858,1.061
V,426385,431401,-0.0962,0.935,0.0527,1.037,-0.0335,0.977,0.0748,1.053
V,431401,436417,-0.1202,0.920,-0.0204,0.986,0.0123,1.009,-0.0613,0.958
V,436417,441434,-0.0263,0.982,-0.0005,1.000,-0.0685,0.954,-0.0281,0.981
V,441434,446450,0.4948,1.409,0.4674,1.383,0.4131,1.332,0.3265,1.254
V,446450,451466,0.6318,1.550,0.5485,1.463,0.5952,1.511,0.2435,1.184
V,451466,456482,-0.0765,0.948,0.0083,1.006,-0.0811,0.945,0.0239,1.017
V,456482,461499,0.0837,1.060,0.0614,1.044,0.1148,1.083,0.0105,1.007
V,461499,466515,-0.2370,0.849,-0.1440,0.905,-0.1520,0.900,0.0174,1.012
V,466515,471531,-0.0033,0.998,0.0147,1.010,0.0076,1.005,0.0000,1.000
V,471531,476548,-0.4492,0.732,-0.3567,0.781,-0.1608,0.895,-0.2371,0.848
V,476548,481564,0.0058,1.004,-0.0018,0.999,-0.0425,0.971,0.0237,1.017
V,481564,486580,-0.0139,0.990,-0.0023,0.998,-0.0020,0.999,0.0476,1.034
V,486580,491596,0.0145,1.010,-0.0147,0.990,-0.1996,0.871,-0.0249,0.983
V,491596,496613,0.4486,1.365,0.4884,1.403,0.4645,1.380,0.2222,1.167
V,496613,501629,0.2541,1.193,0.1892,1.140,0.2056,1.153,0.1802,1.133
V,501629,506645,0.1521,1.111,0.0998,1.072,0.1268,1.092,-0.0124,0.991
V,506645,511662,-0.0208,0.986,-0.0567,0.961,-0.0763,0.949,0.0127,1.009
V,511662,516678,0.1222,1.088,0.0312,1.022,0.0958,1.069,-0.0987,0.934
V,516678,521694,0.1379,1.100,-0.0441,0.970,0.0641,1.045,-0.0689,0.953
