chromosome,start,end,CBR110-15-R3a_log2,CBR110-15-R3a_fold_change,Carmaphycin-R9-2_log2,Carmaphycin-R9-2_fold_change,Doxorubicin16-R2b_log2,Doxorubicin16-R2b_fold_change,NODRUG-GM2_log2,NODRUG-GM2_fold_change
X,250252,255257,0.0015,1.001,0.0485,1.034,-0.0243,0.983,0.0695,1.049
X,255257,260262,-0.1467,0.903,-0.0147,0.990,-0.0881,0.941,0.0035,1.002
X,260262,265267,-0.0489,0.967,-0.0086,0.994,-0.1068,0.929,-0.0262,0.982
X,265267,270272,-0.5492,0.683,-0.3675,0.775,-0.4546,0.730,-0.0515,0.965
X,270272,275277,0.0050,1.003,0.0358,1.025,-0.0037,0.997,-0.0128,0.991
X,275277,280282,-0.1384,0.908,-0.0053,0.996,-0.0793,0.947,-0.0657,0.955
X,280282,285287,-0.1185,0.921,-0.0624,0.958,-0.0706,0.952,0.0056,1.004
X,285287,290292,-0.3486,0.785,-0.2507,0.840,-0.2902,0.818,-0.0099,0.993
X,290292,295297,-0.4078,0.754,-0.1244,0.917,-0.0599,0.959,-0.0883,0.941
X,295297,300302,-0.5242,0.695,-0.3695,0.774,-0.2838,0.821,0.0040,1.003
X,300302,305307,-0.0331,0.977,-0.0035,0.998,0.0337,1.024,0.0304,1.021
X,305307,310312,-0.1741,0.886,-0.0710,0.952,-0.1610,0.894,0.0295,1.021
X,310312,315317,-0.1531,0.899,-0.0763,0.948,-0.1281,0.915,-0.0565,0.962
X,315317,320322,-0.1506,0.901,-0.0844,0.943,-0.1169,0.922,-0.0679,0.954
X,320322,325327,-0.0255,0.982,0.0197,1.014,0.1339,1.097,0.0063,1.004
X,325327,330332,0.0515,1.036,0.1280,1.093,0.0879,1.063,-0.0420,0.971
X,330332,335337,0.1323,1.096,0.0804,1.057,0.1771,1.131,0.0589,1.042
X,335337,340342,0.0093,1.006,0.0949,1.068,0.1310,1.095,0.0003,1.000
X,340342,345347,0.0814,1.058,0.1231,1.089,0.1444,1.105,0.0355,1.025
X,345347,350352,0.0273,1.019,0.0668,1.047,0.0833,1.059,0.0675,1.048
X,350352,355357,0.0604,1.043,0.0802,1.057,0.0542,1.038,0.1172,1.085
X,355357,360362,-0.2223,0.857,-0.1335,0.912,-0.1107,0.926,-0.0201,0.986
X,360362,365367,-0.4946,0.710,-0.2385,0.848,-0.1276,0.915,-0.0057,0.996
X,365367,370372,-0.2364,0.849,-0.1598,0.895,-0.1778,0.884,-0.0252,0.983
X,370372,375378,0.0083,1.006,-0.0203,0.986,0.0049,1.003,0.0963,1.069
X,375378,380383,0.1072,1.077,0.0229,1.016,0.0514,1.036,0.0000,1.000
X,380383,385388,0.0196,1.014,-0.0016,0.999,0.0789,1.056,0.0263,1.018
X,385388,390393,-0.0660,0.955,-0.0283,0.981,-0.0145,0.990,-0.0031,0.998
X,390393,395398,-0.4049,0.755,-0.2372,0.848,-0.2096,0.865,-0.0744,0.950
X,395398,400403,-0.0635,0.957,-0.0424,0.971,-0.1092,0.927,-0.0367,0.975
X,400403,405408,-0.2008,0.870,-0.1132,0.925,0.0111,1.008,-0.0160,0.989
X,405408,410413,0.1718,1.126,0.1384,1.101,0.2983,1.230,0.1646,1.121
X,410413,415418,-0.0557,0.962,-0.0229,0.984,-0.0147,0.990,-0.0462,0.968
X,415418,420423,0.1840,1.136,0.2016,1.150,0.2249,1.169,0.0302,1.021
X,420423,425428,0.0101,1.007,0.0438,1.031,-0.0801,0.946,-0.0065,0.995
X,425428,430433,0.0413,1.029,0.0618,1.044,0.1434,1.105,0.0993,1.071
X,430433,435438,-0.0524,0.964,-0.0479,0.967,0.0208,1.015,-0.0325,0.978
X,435438,440443,0.1138,1.082,0.0652,1.046,0.1649,1.121,-0.0148,0.990
X,440443,445448,0.1135,1.082,0.0451,1.032,0.2238,1.168,-0.0177,0.988
X,445448,450453,-0.0162,0.989,0.0021,1.001,0.0301,1.021,-0.0381,0.974
X,450453,455458,-0.0638,0.957,-0.0360,0.975,-0.0006,1.000,0.0636,1.045
X,455458,460463,0.2228,1.167,0.1606,1.118,0.2469,1.187,-0.0543,0.963
X,460463,465468,0.1290,1.094,0.1008,1.072,0.2159,1.161,0.0249,1.017
X,465468,470473,-0.1175,0.922,-0.0330,0.977,-0.0017,0.999,0.0322,1.023
X,470473,475478,0.5455,1.460,0.4731,1.388,0.5291,1.443,0.2670,1.203
X,475478,480483,0.7422,1.673,0.6573,1.577,0.6906,1.614,0.3885,1.309
X,480483,485488,0.6136,1.530,0.6399,1.558,0.6242,1.541,0.3812,1.302
X,485488,490493,-0.0750,0.949,0.0585,1.041,0.0407,1.029,0.0022,1.002
X,490493,495498,0.0713,1.051,0.1232,1.089,0.1184,1.086,0.0469,1.033
X,495498,500504,0.0195,1.014,0.0788,1.056,0.1465,1.107,0.0108,1.007
X,500504,505509,-0.1471,0.903,0.0202,1.014,-0.0055,0.996,0.0443,1.031
X,505509,510514,0.1634,1.120,0.0868,1.062,0.1179,1.085,0.0024,1.002
X,510514,515519,0.0914,1.065,0.0789,1.056,0.1500,1.110,0.0708,1.050
X,515519,520524,-0.0281,0.981,-0.0420,0.971,-0.0008,0.999,-0.0022,0.998
X,520524,525529,-0.0796,0.946,-0.0726,0.951,0.0217,1.015,0.0086,1.006
X,525529,530534,0.6629,1.583,0.5964,1.512,0.4595,1.375,0.8258,1.772
X,530534,535539,-0.1439,0.905,-0.0953,0.936,0.0529,1.037,0.0027,1.002
X,535539,540544,0.0015,1.001,-0.0033,0.998,-0.0813,0.945,-0.1052,0.930
X,540544,545549,0.1387,1.101,0.1005,1.072,0.0495,1.035,-0.0630,0.957
X,545549,550554,-0.1955,0.873,-0.0541,0.963,-0.0606,0.959,0.0673,1.048
X,550554,555559,0.1018,1.073,0.1432,1.104,0.1827,1.135,0.0450,1.032
X,555559,560564,-0.0701,0.953,-0.0059,0.996,0.0729,1.052,-0.0985,0.934
X,560564,565569,0.1112,1.080,0.1404,1.102,0.2182,1.163,0.0507,1.036
X,565569,570574,-0.1458,0.904,-0.0035,0.998,-0.0262,0.982,0.0811,1.058
X,570574,575579,-0.0317,0.978,0.0844,1.060,0.0247,1.017,-0.0193,0.987
X,575579,580584,-0.1779,0.884,-0.1388,0.908,-0.1492,0.902,-0.0313,0.979
X,580584,585589,-0.1730,0.887,-0.0764,0.948,-0.1563,0.897,0.0242,1.017
X,585589,590594,0.0559,1.039,0.1141,1.082,0.0726,1.052,0.0627,1.044
X,590594,595599,-0.0766,0.948,0.0419,1.029,0.0466,1.033,-0.0490,0.967
X,595599,600604,0.0009,1.001,0.0352,1.025,0.1682,1.124,0.0313,1.022
X,600604,605609,-0.0618,0.958,-0.1030,0.931,-0.0752,0.949,0.0163,1.011
X,605609,610614,-0.1335,0.912,-0.1232,0.918,-0.2133,0.863,0.0710,1.050
X,610614,615619,-0.1292,0.914,-0.0204,0.986,-0.0472,0.968,0.0337,1.024
X,615619,620624,0.0924,1.066,0.1231,1.089,0.2321,1.175,0.0975,1.070
X,620624,625630,-0.2700,0.829,-0.1103,0.926,-0.1171,0.922,0.0739,1.053
X,625630,630635,0.0859,1.061,0.1504,1.110,0.1286,1.093,0.0061,1.004
X,630635,635640,0.1118,1.081,0.1154,1.083,0.1195,1.086,0.0311,1.022
X,635640,640645,-0.0513,0.965,-0.0377,0.974,-0.1594,0.895,0.0112,1.008
X,640645,645650,0.0871,1.062,0.1181,1.085,0.1090,1.078,0.0099,1.007
X,645650,650655,-0.0035,0.998,0.0124,1.009,-0.0271,0.981,0.0816,1.058
X,650655,655660,-0.0721,0.951,-0.0664,0.955,-0.0593,0.960,-0.0092,0.994
X,655660,660665,0.4022,1.322,0.3209,1.249,0.2614,1.199,0.0162,1.011
X,660665,665670,0.0217,1.015,-0.0035,0.998,-0.0651,0.956,0.0585,1.041
X,665670,670675,0.1019,1.073,0.0155,1.011,-0.0724,0.951,-0.0114,0.992
X,670675,675680,-0.0424,0.971,-0.0114,0.992,-0.0909,0.939,-0.0373,0.975
X,675680,680685,0.3134,1.243,0.1925,1.143,0.2922,1.225,-0.0175,0.988
X,680685,685690,0.1312,1.095,0.0499,1.035,0.1899,1.141,-0.0450,0.969
X,685690,690695,0.0660,1.047,-0.1308,0.913,0.0243,1.017,0.0233,1.016
X,690695,695700,0.2701,1.206,0.1310,1.095,0.2436,1.184,0.0555,1.039
X,695700,700705,0.2664,1.203,0.0951,1.068,0.2891,1.222,-0.0398,0.973
X,700705,705710,0.0747,1.053,-0.0377,0.974,0.0331,1.023,0.0888,1.064
X,705710,710715,0.1512,1.111,0.0331,1.023,0.0125,1.009,0.0344,1.024
X,710715,715720,0.5902,1.506,0.2757,1.211,0.4463,1.363,0.1179,1.085
X,715720,720725,0.4632,1.379,0.1684,1.124,0.2343,1.176,0.0376,1.026
X,720725,725730,0.2023,1.151,0.0274,1.019,-0.0400,0.973,-0.0275,0.981
X,725730,730735,0.2238,1.168,0.0670,1.048,-0.0181,0.988,0.0000,1.000
X,730735,735740,0.0926,1.066,-0.0508,0.965,-0.1574,0.897,-0.1874,0.878
X,735740,740745,0.3721,1.294,0.1655,1.122,-0.0896,0.940,0.1055,1.076
X,740745,745751,0.6654,1.586,0.4373,1.354,0.0276,1.019,0.0118,1.008
I,0,5004,0.9468,1.928,0.4266,1.344,0.0903,1.065,0.0283,1.020
I,5004,10009,0.3768,1.298,0.0057,1.004,-0.2607,0.835,-0.0123,0.991
I,10009,15014,0.7773,1.714,0.2329,1.175,0.2148,1.161,0.1546,1.113
I,15014,20018,0.5429,1.457,0.1378,1.100,0.0157,1.011,-0.0332,0.977
I,20018,25023,0.4165,1.335,-0.0672,0.954,-0.0474,0.968,-0.1263,0.916
I,25023,30028,0.5051,1.419,0.0495,1.035,0.0130,1.009,-0.1268,0.916
I,30028,35033,0.4193,1.337,0.0458,1.032,0.0033,1.002,-0.0201,0.986
I,35033,40037,0.3389,1.265,-0.0891,0.940,-0.0052,0.996,0.0057,1.004
I,40037,45042,0.5128,1.427,0.0845,1.060,0.2100,1.157,0.0433,1.030
I,45042,50047,0.3863,1.307,0.0375,1.026,0.0152,1.011,-0.0251,0.983
I,50047,55052,0.4504,1.366,0.0388,1.027,0.0644,1.046,0.0031,1.002
I,55052,60056,0.3263,1.254,-0.0190,0.987,0.0277,1.019,-0.0133,0.991
I,60056,65061,0.4174,1.336,0.0846,1.060,0.2040,1.152,-0.0952,0.936
I,65061,70066,0.0652,1.046,-0.1445,0.905,-0.2291,0.853,-0.1266,0.916
I,70066,75071,0.0994,1.071,-0.3155,0.804,-0.2960,0.815,-0.0609,0.959
I,75071,80075,0.1076,1.077,-0.1981,0.872,-0.0845,0.943,0.0156,1.011
I,80075,85080,0.2809,1.215,0.0220,1.015,-0.0725,0.951,-0.0214,0.985
I,85080,90085,0.4064,1.325,0.1793,1.132,0.1307,1.095,-0.0497,0.966
I,90085,95090,0.1605,1.118,-0.0550,0.963,-0.0645,0.956,-0.0062,0.996
I,95090,100094,0.3401,1.266,0.0561,1.040,0.0681,1.048,-0.0130,0.991
I,100094,105099,0.2736,1.209,-0.0092,0.994,0.0191,1.013,-0.0087,0.994
I,105099,110104,0.2472,1.187,0.0114,1.008,-0.0105,0.993,-0.0026,0.998
I,110104,115109,0.0613,1.043,-0.0174,0.988,0.0425,1.030,0.0000,1.000
I,115109,120113,0.1318,1.096,-0.0807,0.946,-0.0711,0.952,0.1178,1.085
I,120113,125118,0.1230,1.089,-0.0994,0.933,-0.0007,1.000,0.1226,1.089
I,125118,130123,0.1575,1.115,-0.0657,0.955,-0.0545,0.963,0.0000,1.000
I,130123,135127,0.0872,1.062,-0.0622,0.958,-0.1831,0.881,-0.0108,0.993
I,135127,140132,0.2074,1.155,0.0183,1.013,-0.1221,0.919,0.0278,1.019
I,140132,145137,-0.0066,0.995,-0.2632,0.833,-0.3008,0.812,-0.0054,0.996
I,145137,150142,0.1078,1.078,-0.0787,0.947,-0.1197,0.920,0.0239,1.017
I,150142,155146,0.2922,1.225,-0.0582,0.960,0.0193,1.013,-0.0937,0.937
I,155146,160151,0.4444,1.361,0.1695,1.125,0.2307,1.173,-0.0037,0.997
I,160151,165156,0.8208,1.766,0.6015,1.517,0.6964,1.620,0.2564,1.194
I,165156,170161,0.5287,1.443,0.2025,1.151,0.2953,1.227,0.1301,1.094
I,170161,175165,0.5673,1.482,0.1431,1.104,0.1481,1.108,-0.0021,0.999
I,175165,180170,0.6272,1.545,0.1510,1.110,0.3082,1.238,-0.0555,0.962
I,180170,185175,0.6113,1.528,0.2270,1.170,0.2377,1.179,-0.0135,0.991
I,185175,190180,0.3107,1.240,0.0273,1.019,-0.0778,0.947,0.0690,1.049
I,190180,195184,-0.1037,0.931,-0.4162,0.749,-0.0973,0.935,-0.1222,0.919
I,195184,200189,0.3585,1.282,-0.0970,0.935,-0.0540,0.963,-0.0789,0.947
I,200189,205194,0.5438,1.458,0.1474,1.108,0.1184,1.086,0.0492,1.035
I,205194,210199,0.4571,1.373,0.0025,1.002,0.0609,1.043,0.0046,1.003
I,210199,215203,0.4181,1.336,0.0813,1.058,0.0383,1.027,-0.0597,0.959
I,215203,220208,0.3122,1.242,0.0122,1.008,-0.0355,0.976,0.0407,1.029
I,220208,225213,0.2434,1.184,-0.0486,0.967,-0.2728,0.828,-0.0886,0.940
I,225213,230218,0.7806,1.718,0.2616,1.199,0.0213,1.015,0.1051,1.076
V,0,5016,0.3607,1.284,0.3026,1.233,0.1055,1.076,0.0441,1.031
V,5016,10032,0.4172,1.335,0.2536,1.192,0.0175,1.012,0.0506,1.036
V,10032,15048,0.4598,1.375,0.2834,1.217,0.0202,1.014,0.0492,1.035
V,15048,20065,0.2313,1.174,0.0955,1.068,0.0194,1.014,0.0315,1.022
V,20065,25081,0.3191,1.248,0.1640,1.120,0.0943,1.068,-0.0449,0.969
V,25081,30097,0.4689,1.384,0.1677,1.123,0.2683,1.204,0.0555,1.039
V,30097,35114,-0.4188,0.748,-0.6407,0.641,-0.6536,0.636,-0.6622,0.632
V,35114,40130,0.1891,1.140,-0.1026,0.931,0.1485,1.108,0.0425,1.030
V,40130,45146,-0.2710,0.829,-0.2292,0.853,-0.1003,0.933,-0.0659,0.955
V,45146,50162,0.0015,1.001,-0.0991,0.934,-0.1470,0.903,0.1089,1.078
V,50162,55179,-0.1504,0.901,-0.2164,0.861,-0.2063,0.867,0.0087,1.006
V,55179,60195,0.2883,1.221,0.0933,1.067,0.1424,1.104,-0.0101,0.993
V,60195,65211,0.2509,1.190,0.0578,1.041,0.1660,1.122,-0.1151,0.923
V,65211,70228,-0.0471,0.968,-0.0881,0.941,-0.1028,0.931,-0.0315,0.978
V,70228,75244,0.0507,1.036,-0.0375,0.974,0.0740,1.053,-0.0274,0.981
V,75244,80260,0.1537,1.112,0.0941,1.067,-0.0007,1.000,0.0502,1.035
V,80260,85277,-0.1019,0.932,-0.1344,0.911,-0.1120,0.925,0.0059,1.004
V,85277,90293,0.0316,1.022,-0.0328,0.978,-0.0006,1.000,-0.0514,0.965
V,90293,95309,-0.0209,0.986,-0.0188,0.987,-0.0856,0.942,0.0469,1.033
V,95309,100325,0.1613,1.118,0.1075,1.077,0.0767,1.055,0.0711,1.051
V,100325,105342,0.1714,1.126,0.0928,1.066,0.1495,1.109,-0.0045,0.997
V,105342,110358,-0.0427,0.971,-0.0123,0.992,-0.0007,1.000,0.0667,1.047
V,110358,115374,-0.2235,0.856,-0.0834,0.944,-0.1191,0.921,-0.0495,0.966
V,115374,120391,2.1180,4.341,1.8576,3.624,1.8868,3.698,2.0351,4.098
V,120391,125407,-0.2547,0.838,-0.1795,0.883,-0.2431,0.845,-0.0663,0.955
V,125407,130423,-0.0321,0.978,0.0533,1.038,0.0190,1.013,0.0583,1.041
V,130423,135439,0.1784,1.132,0.1139,1.082,0.1772,1.131,0.0481,1.034
V,135439,140456,-0.1996,0.871,-0.1626,0.893,-0.1244,0.917,0.0158,1.011
V,140456,145472,-0.1002,0.933,-0.0653,0.956,-0.0800,0.946,-0.0000,1.000
V,145472,150488,-0.1668,0.891,-0.1069,0.929,-0.1448,0.905,0.0027,1.002
V,150488,155505,0.0218,1.015,-0.0035,0.998,0.0260,1.018,-0.0071,0.995
V,155505,160521,-0.1938,0.874,-0.1088,0.927,-0.1290,0.914,-0.0110,0.992
V,160521,165537,0.1189,1.086,0.0730,1.052,0.1765,1.130,0.0299,1.021
V,165537,170554,-0.0383,0.974,0.0272,1.019,0.1857,1.137,0.1078,1.078
V,170554,175570,-0.1025,0.931,0.1003,1.072,0.0134,1.009,0.0229,1.016
V,175570,180586,-0.0605,0.959,-0.0035,0.998,0.0623,1.044,0.0757,1.054
V,180586,185602,-0.1022,0.932,-0.0098,0.993,-0.0566,0.962,0.0090,1.006
V,185602,190619,-0.1225,0.919,-0.0235,0.984,0.0158,1.011,0.0241,1.017
V,190619,195635,-0.6239,0.649,-0.3329,0.794,-0.2385,0.848,-0.1620,0.894
V,195635,200651,-0.1035,0.931,-0.0405,0.972,0.0777,1.055,0.0184,1.013
V,200651,205668,-0.0338,0.977,0.0699,1.050,0.1060,1.076,0.0869,1.062
V,205668,210684,-0.1002,0.933,-0.0275,0.981,-0.0007,1.000,0.0126,1.009
V,210684,215700,-0.0273,0.981,0.0240,1.017,0.0700,1.050,0.0765,1.054
V,215700,220717,-0.2506,0.841,-0.1941,0.874,-0.0988,0.934,0.0574,1.041
V,220717,225733,-0.5028,0.706,-0.3238,0.799,-0.3439,0.788,-0.0268,0.982
V,225733,230749,-0.2307,0.852,-0.1694,0.889,-0.2293,0.853,0.0763,1.054
V,230749,235765,-0.1250,0.917,0.0118,1.008,-0.0414,0.972,-0.0068,0.995
V,235765,240782,-0.1852,0.880,-0.0669,0.955,-0.0923,0.938,0.0132,1.009
V,240782,245798,-0.1396,0.908,-0.0936,0.937,-0.0718,0.951,-0.0474,0.968
V,245798,250814,-0.0077,0.995,0.0916,1.066,0.1541,1.113,0.0809,1.058
V,250814,255831,-0.1345,0.911,-0.0325,0.978,0.0394,1.028,0.1055,1.076
V,255831,260847,-0.0050,0.997,-0.0067,0.995,0.1121,1.081,-0.0280,0.981
V,260847,265863,-0.2612,0.834,-0.1546,0.898,-0.2446,0.844,-0.0600,0.959
V,265863,270879,-0.1840,0.880,-0.0796,0.946,-0.2025,0.869,0.0543,1.038
V,270879,275896,0.1339,1.097,0.0622,1.044,0.0944,1.068,-0.0382,0.974
V,275896,280912,-0.1220,0.919,-0.0323,0.978,0.0175,1.012,-0.0278,0.981
V,280912,285928,-0.2312,0.852,-0.1356,0.910,-0.1205,0.920,0.0125,1.009
V,285928,290945,0.0015,1.001,0.0337,1.024,0.0763,1.054,0.0000,1.000
V,290945,295961,0.0281,1.020,0.0783,1.056,0.0058,1.004,-0.0074,0.995
V,295961,300977,-0.0716,0.952,-0.0101,0.993,-0.0004,1.000,0.0236,1.016
V,300977,305994,-0.0282,0.981,-0.0149,0.990,0.0047,1.003,-0.0336,0.977
V,305994,311010,-0.0199,0.986,0.0078,1.005,0.0245,1.017,0.0247,1.017
V,311010,316026,0.0398,1.028,0.0897,1.064,0.0600,1.042,-0.0286,0.980
V,316026,321042,-0.1310,0.913,-0.0671,0.955,-0.0545,0.963,0.0724,1.051
V,321042,326059,-0.1374,0.909,-0.1281,0.915,-0.0593,0.960,-0.0252,0.983
V,326059,331075,-0.1552,0.898,-0.1235,0.918,-0.0750,0.949,-0.0301,0.979
V,331075,336091,-0.1123,0.925,-0.0747,0.950,-0.0631,0.957,0.0886,1.063
V,336091,341108,-0.1958,0.873,-0.1096,0.927,0.0312,1.022,-0.0465,0.968
V,341108,346124,-0.0927,0.938,-0.0767,0.948,-0.0384,0.974,-0.0050,0.997
V,346124,351140,-0.0378,0.974,-0.0018,0.999,0.0613,1.043,-0.0123,0.992
V,351140,356156,0.0197,1.014,0.0793,1.057,0.0350,1.025,0.0577,1.041
V,356156,361173,-0.0233,0.984,-0.0227,0.984,-0.0203,0.986,-0.0010,0.999
V,361173,366189,-0.3470,0.786,-0.1981,0.872,-0.1265,0.916,0.0674,1.048
V,366189,371205,-0.0780,0.947,0.0087,1.006,-0.0437,0.970,0.0092,1.006
V,371205,376222,-0.2300,0.853,-0.0755,0.949,-0.0415,0.972,0.0612,1.043
V,376222,381238,-0.1763,0.885,-0.0235,0.984,-0.0324,0.978,0.0022,1.002
V,381238,386254,-0.1640,0.893,-0.1384,0.909,-0.0375,0.974,-0.0730,0.951
V,386254,391271,0.0446,1.031,0.1488,1.109,0.1494,1.109,-0.0206,0.986
V,391271,396287,-0.1594,0.895,-0.0854,0.943,-0.0817,0.945,0.0374,1.026
V,396287,401303,0.0918,1.066,0.1534,1.112,0.1459,1.106,0.0662,1.047
V,401303,406319,-0.2157,0.861,-0.0853,0.943,-0.1191,0.921,-0.0545,0.963
V,406319,411336,-0.0971,0.935,-0.0264,0.982,0.0293,1.020,0.0048,1.003
V,411336,416352,0.0354,1.025,0.0057,1.004,0.0778,1.055,-0.0532,0.964
V,416352,421368,-0.2124,0.863,-0.1125,0.925,-0.0703,0.952,0.0010,1.001
V,421368,426385,-0.2761,0.826,-0.1389,0.908,-0.2115,0.864,0.0920,1.066
V,426385,431401,-0.1032,0.931,0.0495,1.035,-0.0358,0.976,0.0549,1.039
V,431401,436417,-0.1093,0.927,-0.0215,0.985,-0.0007,1.000,-0.0582,0.960
V,436417,441434,-0.0289,0.980,-0.0033,0.998,-0.0632,0.957,-0.0278,0.981
V,441434,446450,0.4216,1.339,0.4748,1.390,0.4031,1.322,0.2863,1.220
V,446450,451466,0.6713,1.592,0.5236,1.437,0.6649,1.586,0.1565,1.115
V,451466,456482,-0.0756,0.949,0.0060,1.004,-0.0805,0.946,0.0225,1.016
V,456482,461499,0.0855,1.061,0.0739,1.053,0.1184,1.086,0.0170,1.012
V,461499,466515,-0.2367,0.849,-0.1463,0.904,-0.1504,0.901,0.0193,1.013
V,466515,471531,-0.0031,0.998,0.0175,1.012,0.0099,1.007,0.0069,1.005
V,471531,476548,-0.4519,0.731,-0.3408,0.790,-0.1725,0.887,-0.2422,0.845
V,476548,481564,0.0025,1.002,0.0010,1.001,-0.0475,0.968,0.0354,1.025
V,481564,486580,-0.0177,0.988,0.0007,1.000,-0.0007,1.000,0.0503,1.035
V,486580,491596,0.0156,1.011,-0.0129,0.991,-0.1901,0.877,-0.0240,0.983
V,491596,496613,0.4320,1.349,0.4918,1.406,0.4800,1.395,0.1892,1.140
V,496613,501629,0.2673,1.204,0.2390,1.180,0.2070,1.154,0.1654,1.121
V,501629,506645,0.1510,1.110,0.0959,1.069,0.1293,1.094,-0.0200,0.986
V,506645,511662,-0.0181,0.988,-0.0580,0.961,-0.0720,0.951,0.0055,1.004
V,511662,516678,0.1186,1.086,0.0287,1.020,0.0980,1.070,-0.1000,0.933
V,516678,521694,0.1346,1.098,-0.0406,0.972,0.0628,1.045,-0.0862,0.942
