sample	direction	outcome	chrom	pos_single	pos_joint	shift	cipos_joint	shift_inside_cipos	svtype	filter_single	filter_joint	gt_single	gt_joint	ft_single	ft_joint	gq_single	gq_joint	pr_sr_alt_single	pr_sr_alt_joint
CBR110-15-R3a	single->joint	found	XV	159671	159689	18	-296,297	True	BND	PASS	PASS	0/1	0/1	PASS	PASS	21	82	9/0	13/0
CBR110-15-R3a	single->joint	found	XV	159676	159693	17	-300,301	True	BND	PASS	PASS	0/1	0/1	PASS	PASS	55	70	10/0	12/0
CBR110-15-R3a	single->joint	found	XV	619877	619773	104	-388,389	True	BND	PASS	PASS	0/1	0/0	PASS	HomRef;MinGQ	29	7	9/0	9/0
CBR110-15-R3a	single->joint	found	XV	722249	722249	0	0,7	True	DEL	PASS	PASS	1/1	1/1	PASS	PASS	279	303	0/112	0/120
CBR110-15-R3a	single->joint	LOST	Mito	39					DUP	MaxDepth		0/1		PASS		20		5/0	
CBR110-15-R3a	joint-only	NEW_PRESENCE	IV		470461		-465,466		BND		PASS		1/1		PASS		38		14/0
CBR110-15-R3a	joint-only	NEW_PRESENCE	V		33467		0,0		BND		PASS		0/1		PASS		567		26/12
CBR110-15-R3a	joint-only	NEW_PRESENCE	V		33715		0,0		BND		PASS		0/1		PASS		700		35/51
CBR110-15-R3a	joint-only	NEW_PRESENCE	V		117013		-440,441		BND		PASS		1/1		MinGQ		12		5/0
CBR110-15-R3a	joint-only	NEW_PRESENCE	V		117041		-448,449		BND		PASS		1/1		MinGQ		8		4/0
CBR110-15-R3a	joint-only	NEW_PRESENCE	V		117050		0,0		BND		PASS		1/1		PASS		999		29/741
CBR110-15-R3a	joint-only	NEW_PRESENCE	V		117053		-421,422		BND		PASS		1/1		PASS		38		14/0
CBR110-15-R3a	joint-only	NEW_PRESENCE	X		526945		0,0		BND		PASS		0/1		PASS		700		35/51
CBR110-15-R3a	joint-only	NEW_PRESENCE	XI		653082		0,0		BND		PASS		1/1		PASS		563		7/254
CBR110-15-R3a	joint-only	NEW_PRESENCE	XI		656734		0,0		BND		PASS		1/1		PASS		999		29/741
CBR110-15-R3a	joint-only	NEW_PRESENCE	XII		41272		-450,450		BND		PASS		1/1		MinGQ		8		4/0
CBR110-15-R3a	joint-only	NEW_PRESENCE	XII		1065062		0,16		DEL		PASS		0/1		PASS		451		0/19
CBR110-15-R3a	joint-only	NEW_PRESENCE	XIV		6633		0,3		INS		MaxMQ0Frac		1/1		PASS		82		0/54
CBR110-15-R3a	joint-only	NEW_PRESENCE	XV		159560		0,0		BND		PASS		1/1		PASS		563		7/254
CBR110-15-R3a	joint-only	NEW_PRESENCE	XV		159560		0,0		BND		PASS		1/1		PASS		604		8/279
CBR110-15-R3a	joint-only	NEW_PRESENCE	XV		159672		-282,283		BND		PASS		0/1		PASS		81		12/0
CBR110-15-R3a	joint-only	NEW_PRESENCE	XV		349681		0,0		BND		PASS		1/1		PASS		604		8/279
CBR110-15-R3a	joint-only	NEW_PRESENCE	XV		353896		-439,439		BND		PASS		1/1		MinGQ		12		5/0
CBR110-15-R3a	joint-only	NEW_PRESENCE	XV		931843		-357,357		BND		PASS		0/1		PASS		81		12/0
